title,img_src,page,author,publisher,original price,sale price
마당을 나온 암탉(출간 20주년 특별판),https://bookthumb-phinf.pstatic.net/cover/163/420/16342095.jpg?type=m1&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16342095, 황선미,사계절,"15,000원","13,500원(-10%)"
"따뜻하게, 다시 1",https://bookthumb-phinf.pstatic.net/cover/163/131/16313196.jpg?type=m1&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16313196, 채현진,플레이블(예원북스),"12,000원","10,800원(-10%)"
이세계 내가 가봤는데 별거 없더라. 14,https://bookthumb-phinf.pstatic.net/cover/163/457/16345779.jpg?type=m1&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345779, 현철,파피루스,"8,000원","7,200원(-10%)"
빛의 아이들 2,https://bookthumb-phinf.pstatic.net/cover/163/421/16342197.jpg?type=m1&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16342197, 최승주,지식과감성,"13,800원","12,420원(-10%)"
"따뜻하게, 다시 2",https://bookthumb-phinf.pstatic.net/cover/163/132/16313201.jpg?type=m1&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16313201, 채현진,플레이블(예원북스),"12,000원","10,800원(-10%)"
아이젠,https://bookthumb-phinf.pstatic.net/cover/163/439/16343921.jpg?type=m1&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16343921, 김남숙,문학동네,"13,500원","12,150원(-10%)"
우아한 야만의 바다 1,https://ssl.pstatic.net/static/book/image/juvenile_pest_82X116.gif&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16324217, 틸다킴,퀸즈셀렉션,"11,500원","10,350원(-10%)"
"어쨌거나, 청춘 4/완결",https://bookthumb-phinf.pstatic.net/cover/163/445/16344543.jpg?type=m1&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16344543, 이보람,교보문고,"14,000원","12,600원(-10%)"
금색야차(하)(가천대학교 아시아문화연구소 5),https://bookthumb-phinf.pstatic.net/cover/163/454/16345488.jpg?type=m1&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345488, 오자키 고요,역락,"16,000원","14,400원(-10%)"
우아한 야만의 바다 2,https://ssl.pstatic.net/static/book/image/juvenile_pest_82X116.gif&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16324218, 틸다킴,퀸즈셀렉션,"11,500원","10,350원(-10%)"
